strategy_id,n_questions,n_chunks,hit_rate@k,mrr@k,ndcg@k,must_phrase_coverage@k,config
chunk1400_ov250__hybrid_a0.80__K10,60,316,0.8666666666666667,0.49994708994709,0.584161686400766,0.959866220735786,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov0__hybrid_a0.65__K10,60,253,0.85,0.6182407407407408,0.6754520679689513,0.9765886287625418,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov150__dense__K10,60,297,0.85,0.5857142857142856,0.6383736465935559,0.9565217391304348,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 150, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk900_ov250__dense__K10,60,414,0.8333333333333334,0.5778240740740741,0.6318946246317574,0.9464882943143813,"{'chunk_max_chars': 900, 'chunk_overlap_chars': 250, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov0__hybrid_a0.80__K10,60,158,0.8333333333333334,0.4862698412698413,0.5711014932925322,0.9531772575250836,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov0__hybrid_a0.80__K10,60,253,0.8166666666666667,0.5672685185185186,0.6280103910186384,0.9698996655518395,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 0, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov150__hybrid_a0.80__K10,60,171,0.8,0.47503968253968254,0.5505060389889446,0.9230769230769231,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 150, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov250__hybrid_a0.80__K10,60,181,0.8,0.4634126984126984,0.5393544266793078,0.9331103678929766,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 250, 'retriever': 'hybrid', 'hybrid_alpha': 0.8, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov0__dense__K10,60,253,0.75,0.5086309523809524,0.5673028882396225,0.9464882943143813,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 0, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk1400_ov250__dense__K10,60,316,0.75,0.42135582010582,0.4991303802707549,0.919732441471572,"{'chunk_max_chars': 1400, 'chunk_overlap_chars': 250, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov0__dense__K10,60,158,0.7166666666666667,0.4236309523809524,0.49599940705041295,0.9063545150501672,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 0, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov150__dense__K10,60,171,0.7,0.41344576719576714,0.486306446824168,0.8762541806020067,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 150, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
chunk2000_ov250__dense__K10,60,181,0.6833333333333333,0.3775661375661376,0.4486692112565715,0.8695652173913043,"{'chunk_max_chars': 2000, 'chunk_overlap_chars': 250, 'retriever': 'dense', 'hybrid_alpha': 0.65, 'use_rerank': False, 'rerank_model': 'cross-encoder/ms-marco-MiniLM-L-6-v2', 'retrieve_k': 50, 'final_k': 10}"
